I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.021,-0.041,-0.063,,,,,,,,,
0.025,-0.037,-0.063,,,,,,,,,
0.013,-0.031,-0.045,,,,,,,,,
0.003,-0.027,-0.03,,,,,,,,,
-0.005,-0.021,-0.016,,,,,,,,,
-0.016,-0.016,0.0,,,,,,,,,
-0.03,-0.01,0.02,,,,,,,,,
-0.03,-0.004,0.025,,,,,,,,,
-0.025,-0.014,0.01,,,,,,,,,
-0.028,-0.029,0.0,,,,,,,,,
-0.024,-0.04,-0.015,,,,,,,,,
-0.032,-0.055,-0.023,,,,,,,,,
-0.015,-0.04,-0.025,,,,,,,,,
-0.043,-0.067,-0.024,,,,,,,,,
-0.045,-0.07,-0.025,,,,,,,,,
-0.04,-0.065,-0.024,,,,,,,,,
-0.038,-0.063,-0.025,,,,,,,,,
-0.03,-0.06,-0.03,,,,,,,,,
-0.028,-0.058,-0.029,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.023,-0.053,-0.029,,,,,,,,,
-0.019,-0.05,-0.03,,,,,,,,,
-0.021,-0.049,-0.028,,,,,,,,,
-0.029,-0.05,-0.02,,,,,,,,,
-0.032,-0.049,-0.017,,,,,,,,,
-0.037,-0.05,-0.013,,,,,,,,,
-0.042,-0.049,-0.006,,,,,,,,,
-0.048,-0.05,-0.001,,,,,,,,,
-0.048,-0.049,0.0,,,,,,,,,
-0.034,-0.05,-0.015,,,,,,,,,
-0.017,-0.049,-0.031,,,,,,,,,
-0.022,-0.05,-0.028,,,,,,,,,
-0.032,-0.049,-0.016,,,,,,,,,
-0.038,-0.049,-0.01,,,,,,,,,
-0.042,-0.044,-0.001,,,,,,,,,
-0.049,-0.044,0.005,,,,,,,,,
-0.053,-0.038,0.014,,,,,,,,,
-0.054,-0.041,0.012,,,,,,,,,
-0.044,-0.034,0.01,,,,,,,,,
-0.043,-0.036,0.007,,,,,,,,,
-0.036,-0.031,0.004,,,,,,,,,
-0.035,-0.031,0.004,,,,,,,,,
-0.026,-0.027,0.0,,,,,,,,,
-0.024,-0.025,0.0,,,,,,,,,
-0.018,-0.024,-0.005,,,,,,,,,
-0.017,-0.021,-0.004,,,,,,,,,
-0.009,-0.018,-0.008,,,,,,,,,
-0.011,-0.02,-0.009,,,,,,,,,
-0.031,-0.045,-0.013,,,,,,,,,
0.013,-0.012,-0.026,,,,,,,,,
0.037,0.025,-0.011,,,,,,,,,
0.006,0.0,-0.007,,,,,,,,,
-0.039,-0.035,0.003,,,,,,,,,
-0.079,-0.063,0.016,,,,,,,,,
-0.083,-0.041,0.042,,,,,,,,,
-0.065,-0.018,0.047,,,,,,,,,
0.003,0.005,0.001,,,,,,,,,
0.075,0.02,-0.055,,,,,,,,,
0.222,0.089,-0.133,,,,,,,,,
0.436,0.24,-0.196,,,,,,,,,
0.738,0.455,-0.282,,,,,,,,,
1.077,0.499,-0.577,,,,,,,,,
1.239,0.39,-0.848,,,,,,,,,
1.065,0.328,-0.737,,,,,,,,,
0.551,0.26,-0.291,,,,,,,,,
0.165,0.166,0.0,,,,,,,,,
0.021,0.103,0.081,,,,,,,,,
-0.114,0.114,0.228,,,,,,,,,
-0.124,0.106,0.23,,,,,,,,,
-0.062,0.112,0.174,,,,,,,,,
-0.036,0.086,0.122,,,,,,,,,
-0.046,0.06,0.107,,,,,,,,,
-0.065,0.025,0.09,,,,,,,,,
-0.073,-0.002,0.071,,,,,,,,,
-0.067,-0.013,0.053,,,,,,,,,
-0.058,-0.02,0.038,,,,,,,,,
-0.049,-0.025,0.023,,,,,,,,,
-0.064,-0.031,0.032,,,,,,,,,
-0.069,-0.039,0.028,,,,,,,,,
-0.077,-0.046,0.03,,,,,,,,,
-0.076,-0.047,0.029,,,,,,,,,
-0.087,-0.057,0.03,,,,,,,,,
-0.064,-0.04,0.024,,,,,,,,,
-0.09,-0.064,0.025,,,,,,,,,
-0.104,-0.08,0.024,,,,,,,,,
-0.093,-0.067,0.025,,,,,,,,,
-0.089,-0.068,0.021,,,,,,,,,
-0.083,-0.062,0.02,,,,,,,,,
-0.082,-0.063,0.019,,,,,,,,,
-0.076,-0.055,0.02,,,,,,,,,
-0.072,-0.054,0.017,,,,,,,,,
-0.082,-0.048,0.034,,,,,,,,,
-0.091,-0.049,0.041,,,,,,,,,
-0.077,-0.038,0.039,,,,,,,,,
-0.076,-0.036,0.04,,,,,,,,,
-0.067,-0.028,0.039,,,,,,,,,
-0.065,-0.025,0.04,,,,,,,,,
-0.056,-0.017,0.039,,,,,,,,,
-0.069,-0.014,0.055,,,,,,,,,
-0.06,-0.006,0.053,,,,,,,,,
-0.042,0.0,0.042,,,,,,,,,
-0.04,-0.003,0.036,,,,,,,,,
-0.034,-0.005,0.028,,,,,,,,,
-0.061,-0.003,0.058,,,,,,,,,
-0.073,0.01,0.084,,,,,,,,,
-0.072,0.005,0.078,,,,,,,,,
-0.086,-0.005,0.081,,,,,,,,,
-0.083,-0.006,0.077,,,,,,,,,
-0.068,0.006,0.075,,,,,,,,,
-0.063,0.011,0.074,,,,,,,,,
-0.051,0.023,0.075,,,,,,,,,
-0.053,0.017,0.071,,,,,,,,,
-0.037,0.031,0.069,,,,,,,,,
-0.015,0.055,0.07,,,,,,,,,
-0.028,0.038,0.066,,,,,,,,,
-0.026,0.037,0.064,,,,,,,,,
-0.035,0.029,0.065,,,,,,,,,
-0.04,0.023,0.065,,,,,,,,,
-0.06,0.014,0.075,,,,,,,,,
-0.055,0.012,0.068,,,,,,,,,
-0.053,0.003,0.056,,,,,,,,,
-0.049,-0.003,0.046,,,,,,,,,
-0.045,-0.012,0.033,,,,,,,,,
-0.031,-0.028,0.003,,,,,,,,,
0.024,0.0,-0.023,,,,,,,,,
0.039,-0.003,-0.042,,,,,,,,,
0.016,-0.025,-0.041,,,,,,,,,
0.002,-0.037,-0.039,,,,,,,,,
-0.018,-0.054,-0.036,,,,,,,,,
-0.011,-0.046,-0.034,,,,,,,,,
-0.013,-0.044,-0.031,,,,,,,,,
-0.009,-0.038,-0.028,,,,,,,,,
-0.009,-0.034,-0.025,,,,,,,,,
-0.003,-0.026,-0.023,,,,,,,,,
-0.007,-0.026,-0.02,,,,,,,,,
-0.027,-0.046,-0.018,,,,,,,,,
-0.056,-0.07,-0.015,,,,,,,,,
-0.089,-0.102,-0.013,,,,,,,,,
-0.09,-0.099,-0.009,,,,,,,,,
-0.089,-0.099,-0.009,,,,,,,,,
-0.079,-0.1,-0.02,,,,,,,,,
-0.076,-0.099,-0.022,,,,,,,,,
-0.081,-0.1,-0.018,,,,,,,,,
-0.078,-0.099,-0.02,,,,,,,,,
-0.081,-0.1,-0.019,,,,,,,,,
-0.078,-0.099,-0.02,,,,,,,,,
-0.081,-0.1,-0.019,,,,,,,,,
-0.078,-0.099,-0.02,,,,,,,,,
-0.084,-0.099,-0.015,,,,,,,,,
-0.068,-0.083,-0.015,,,,,,,,,
-0.058,-0.073,-0.014,,,,,,,,,
-0.04,-0.055,-0.015,,,,,,,,,
-0.039,-0.054,-0.014,,,,,,,,,
-0.041,-0.057,-0.015,,,,,,,,,
-0.039,-0.054,-0.014,,,,,,,,,
-0.039,-0.05,-0.011,,,,,,,,,
-0.04,-0.05,-0.009,,,,,,,,,
-0.037,-0.048,-0.01,,,,,,,,,
-0.034,-0.044,-0.009,,,,,,,,,
-0.034,-0.045,-0.01,,,,,,,,,
-0.032,-0.04,-0.007,,,,,,,,,
-0.034,-0.039,-0.005,,,,,,,,,
-0.03,-0.034,-0.004,,,,,,,,,
-0.03,-0.035,-0.005,,,,,,,,,
-0.027,-0.031,-0.004,,,,,,,,,
-0.024,-0.029,-0.005,,,,,,,,,
-0.024,-0.031,-0.007,,,,,,,,,
-0.045,-0.057,-0.011,,,,,,,,,
-0.052,-0.06,-0.008,,,,,,,,,
-0.045,-0.059,-0.014,,,,,,,,,
-0.047,-0.061,-0.014,,,,,,,,,
-0.048,-0.065,-0.016,,,,,,,,,
-0.054,-0.064,-0.01,,,,,,,,,
-0.063,-0.064,0.0,,,,,,,,,
-0.068,-0.059,0.01,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.04,-0.059,-0.018,,,,,,,,,
-0.082,-0.061,0.021,,,,,,,,,
-0.1,-0.058,0.041,,,,,,,,,
-0.103,-0.062,0.04,,,,,,,,,
-0.111,-0.076,0.034,,,,,,,,,
-0.087,-0.054,0.032,,,,,,,,,
-0.05,-0.027,0.022,,,,,,,,,
0.01,0.001,-0.009,,,,,,,,,
0.118,0.042,-0.075,,,,,,,,,
0.269,0.112,-0.157,,,,,,,,,
0.565,0.323,-0.241,,,,,,,,,
0.848,0.464,-0.383,,,,,,,,,
1.1,0.39,-0.709,,,,,,,,,
1.192,0.307,-0.884,,,,,,,,,
0.869,0.249,-0.619,,,,,,,,,
0.35,0.189,-0.161,,,,,,,,,
0.081,0.11,0.028,,,,,,,,,
0.006,0.108,0.102,,,,,,,,,
-0.159,0.09,0.25,,,,,,,,,
-0.133,0.087,0.221,,,,,,,,,
-0.104,0.06,0.165,,,,,,,,,
-0.115,0.023,0.139,,,,,,,,,
-0.102,0.004,0.107,,,,,,,,,
-0.103,-0.013,0.09,,,,,,,,,
-0.102,-0.031,0.071,,,,,,,,,
-0.109,-0.057,0.051,,,,,,,,,
-0.111,-0.072,0.039,,,,,,,,,
-0.108,-0.068,0.04,,,,,,,,,
-0.111,-0.071,0.039,,,,,,,,,
-0.107,-0.067,0.04,,,,,,,,,
-0.095,-0.055,0.039,,,,,,,,,
-0.125,-0.084,0.04,,,,,,,,,
-0.138,-0.099,0.039,,,,,,,,,
-0.124,-0.084,0.04,,,,,,,,,
-0.12,-0.08,0.039,,,,,,,,,
-0.112,-0.072,0.04,,,,,,,,,
-0.111,-0.071,0.039,,,,,,,,,
-0.107,-0.067,0.04,,,,,,,,,
-0.106,-0.066,0.04,,,,,,,,,
-0.103,-0.064,0.039,,,,,,,,,
-0.106,-0.062,0.043,,,,,,,,,
-0.104,-0.058,0.045,,,,,,,,,
-0.105,-0.06,0.044,,,,,,,,,
-0.098,-0.053,0.044,,,,,,,,,
-0.1,-0.055,0.045,,,,,,,,,
-0.091,-0.048,0.043,,,,,,,,,
-0.105,-0.051,0.053,,,,,,,,,
-0.107,-0.044,0.063,,,,,,,,,
-0.104,-0.046,0.058,,,,,,,,,
-0.105,-0.043,0.061,,,,,,,,,
-0.105,-0.046,0.058,,,,,,,,,
-0.104,-0.043,0.061,,,,,,,,,
-0.119,-0.061,0.057,,,,,,,,,
-0.104,-0.049,0.056,,,,,,,,,
-0.091,-0.037,0.053,,,,,,,,,
-0.077,-0.021,0.056,,,,,,,,,
-0.068,-0.015,0.053,,,,,,,,,
-0.071,-0.014,0.057,,,,,,,,,
-0.068,-0.016,0.051,,,,,,,,,
-0.095,-0.03,0.064,,,,,,,,,
-0.111,-0.028,0.083,,,,,,,,,
-0.093,-0.015,0.078,,,,,,,,,
-0.108,-0.03,0.076,,,,,,,,,
-0.115,-0.041,0.074,,,,,,,,,
-0.097,-0.023,0.073,,,,,,,,,
-0.081,-0.012,0.069,,,,,,,,,
-0.067,0.003,0.07,,,,,,,,,
-0.056,0.008,0.065,,,,,,,,,
-0.054,0.01,0.065,,,,,,,,,
-0.051,0.009,0.06,,,,,,,,,
-0.049,0.011,0.06,,,,,,,,,
-0.049,0.008,0.058,,,,,,,,,
-0.041,0.012,0.053,,,,,,,,,
-0.049,0.006,0.056,,,,,,,,,
-0.008,0.022,0.031,,,,,,,,,
0.038,0.043,0.005,,,,,,,,,
0.024,0.016,-0.008,,,,,,,,,
0.026,0.0,-0.025,,,,,,,,,
0.018,-0.022,-0.041,,,,,,,,,
0.021,-0.013,-0.035,,,,,,,,,
0.018,-0.006,-0.025,,,,,,,,,
0.02,0.002,-0.018,,,,,,,,,
0.02,0.01,-0.009,,,,,,,,,
0.025,0.023,-0.002,,,,,,,,,
0.025,0.031,0.006,,,,,,,,,
0.011,0.025,0.014,,,,,,,,,
-0.008,0.003,0.013,,,,,,,,,
-0.021,-0.011,0.009,,,,,,,,,
-0.041,-0.033,0.007,,,,,,,,,
-0.041,-0.038,0.004,,,,,,,,,
-0.047,-0.045,0.002,,,,,,,,,
-0.04,-0.042,0.0,,,,,,,,,
-0.038,-0.04,-0.002,,,,,,,,,
-0.03,-0.036,-0.006,,,,,,,,,
-0.027,-0.035,-0.008,,,,,,,,,
-0.019,-0.031,-0.011,,,,,,,,,
-0.016,-0.03,-0.014,,,,,,,,,
-0.008,-0.025,-0.016,,,,,,,,,
-0.005,-0.025,-0.019,,,,,,,,,
0.0,-0.02,-0.021,,,,,,,,,
-0.004,-0.019,-0.015,,,,,,,,,
-0.004,-0.014,-0.009,,,,,,,,,
-0.008,-0.014,-0.006,,,,,,,,,
-0.007,-0.009,-0.002,,,,,,,,,
-0.014,-0.009,0.004,,,,,,,,,
-0.024,-0.016,0.008,,,,,,,,,
-0.039,-0.03,0.009,,,,,,,,,
-0.019,-0.017,0.001,,,,,,,,,
-0.047,-0.014,0.033,,,,,,,,,
-0.037,-0.001,0.035,,,,,,,,,
-0.06,-0.025,0.035,,,,,,,,,
-0.082,-0.048,0.032,,,,,,,,,
-0.073,-0.043,0.03,,,,,,,,,
-0.069,-0.039,0.029,,,,,,,,,
-0.061,-0.035,0.026,,,,,,,,,
-0.058,-0.034,0.024,,,,,,,,,
-0.056,-0.03,0.025,,,,,,,,,
-0.046,-0.025,0.02,,,,,,,,,
-0.043,-0.022,0.02,,,,,,,,,
-0.037,-0.019,0.017,,,,,,,,,
-0.032,-0.017,0.015,,,,,,,,,
-0.021,-0.006,0.014,,,,,,,,,
-0.021,-0.005,0.014,,,,,,,,,
-0.02,-0.012,0.008,,,,,,,,,
-0.028,-0.021,0.006,,,,,,,,,
-0.028,-0.027,0.0,,,,,,,,,
-0.03,-0.03,-0.001,,,,,,,,,
-0.024,-0.032,-0.007,,,,,,,,,
-0.028,-0.037,-0.008,,,,,,,,,
-0.036,-0.026,0.009,,,,,,,,,
-0.104,-0.05,0.054,,,,,,,,,
-0.116,-0.035,0.08,,,,,,,,,
-0.073,-0.009,0.063,,,,,,,,,
0.018,0.017,0.0,,,,,,,,,
0.105,0.046,-0.058,,,,,,,,,
0.259,0.106,-0.152,,,,,,,,,
0.544,0.304,-0.239,,,,,,,,,
0.845,0.479,-0.366,,,,,,,,,
1.168,0.466,-0.701,,,,,,,,,
1.256,0.348,-0.908,,,,,,,,,
0.947,0.265,-0.681,,,,,,,,,
0.378,0.166,-0.211,,,,,,,,,
0.035,0.063,0.027,,,,,,,,,
-0.045,0.072,0.117,,,,,,,,,
-0.154,0.064,0.219,,,,,,,,,
-0.165,0.062,0.228,,,,,,,,,
-0.111,0.057,0.168,,,,,,,,,
-0.082,0.051,0.134,,,,,,,,,
-0.064,0.046,0.111,,,,,,,,,
-0.059,0.042,0.101,,,,,,,,,
-0.069,0.02,0.089,,,,,,,,,
-0.083,0.008,0.091,,,,,,,,,
-0.098,-0.014,0.084,,,,,,,,,
-0.094,-0.008,0.085,,,,,,,,,
-0.083,-0.009,0.074,,,,,,,,,
-0.092,-0.028,0.063,,,,,,,,,
-0.083,-0.033,0.049,,,,,,,,,
-0.067,-0.027,0.04,,,,,,,,,
-0.061,-0.026,0.034,,,,,,,,,
-0.052,-0.017,0.035,,,,,,,,,
-0.073,-0.038,0.034,,,,,,,,,
-0.073,-0.037,0.035,,,,,,,,,
-0.118,-0.083,0.034,,,,,,,,,
-0.119,-0.084,0.035,,,,,,,,,
-0.094,-0.06,0.034,,,,,,,,,
-0.083,-0.047,0.035,,,,,,,,,
-0.071,-0.037,0.034,,,,,,,,,
-0.112,-0.077,0.035,,,,,,,,,
-0.097,-0.062,0.034,,,,,,,,,
-0.089,-0.054,0.035,,,,,,,,,
-0.067,-0.033,0.034,,,,,,,,,
-0.078,-0.041,0.036,,,,,,,,,
-0.094,-0.052,0.041,,,,,,,,,
-0.084,-0.041,0.043,,,,,,,,,
-0.093,-0.039,0.054,,,,,,,,,
-0.106,-0.031,0.075,,,,,,,,,
-0.102,-0.028,0.073,,,,,,,,,
-0.096,-0.02,0.075,,,,,,,,,
-0.091,-0.017,0.074,,,,,,,,,
-0.089,-0.014,0.075,,,,,,,,,
-0.086,-0.012,0.074,,,,,,,,,
-0.084,-0.008,0.075,,,,,,,,,
-0.085,-0.007,0.078,,,,,,,,,
-0.084,-0.003,0.081,,,,,,,,,
-0.081,-0.002,0.079,,,,,,,,,
-0.078,0.002,0.08,,,,,,,,,
-0.076,0.002,0.079,,,,,,,,,
-0.072,0.008,0.08,,,,,,,,,
-0.073,0.005,0.079,,,,,,,,,
-0.05,0.026,0.076,,,,,,,,,
-0.016,0.057,0.073,,,,,,,,,
-0.036,0.034,0.071,,,,,,,,,
-0.04,0.027,0.067,,,,,,,,,
-0.056,0.009,0.066,,,,,,,,,
-0.046,0.016,0.062,,,,,,,,,
-0.046,0.014,0.06,,,,,,,,,
-0.035,0.021,0.057,,,,,,,,,
-0.036,0.019,0.055,,,,,,,,,
-0.024,0.027,0.051,,,,,,,,,
-0.029,0.021,0.05,,,,,,,,,
0.006,0.049,0.043,,,,,,,,,
0.025,0.055,0.03,,,,,,,,,
0.025,0.043,0.018,,,,,,,,,
0.033,0.04,0.007,,,,,,,,,
0.045,0.034,-0.01,,,,,,,,,
0.055,0.025,-0.03,,,,,,,,,
0.072,0.02,-0.051,,,,,,,,,
0.07,0.002,-0.067,,,,,,,,,
0.031,-0.025,-0.056,,,,,,,,,
0.006,-0.042,-0.048,,,,,,,,,
0.004,-0.036,-0.041,,,,,,,,,
-0.002,-0.032,-0.03,,,,,,,,,
-0.006,-0.026,-0.019,,,,,,,,,
-0.009,-0.019,-0.009,,,,,,,,,
-0.01,-0.008,0.001,,,,,,,,,
-0.006,-0.001,0.005,,,,,,,,,
0.003,0.007,0.005,,,,,,,,,
-0.006,-0.002,0.004,,,,,,,,,
-0.021,-0.022,0.0,,,,,,,,,
-0.036,-0.034,0.0,,,,,,,,,
-0.054,-0.057,-0.003,,,,,,,,,
-0.083,-0.089,-0.005,,,,,,,,,
-0.064,-0.068,-0.004,,,,,,,,,
-0.045,-0.052,-0.008,,,,,,,,,
-0.019,-0.029,-0.01,,,,,,,,,
-0.014,-0.025,-0.01,,,,,,,,,
-0.043,-0.051,-0.008,,,,,,,,,
-0.046,-0.05,-0.004,,,,,,,,,
-0.041,-0.047,-0.005,,,,,,,,,
-0.04,-0.044,-0.004,,,,,,,,,
-0.036,-0.041,-0.005,,,,,,,,,
-0.035,-0.039,-0.004,,,,,,,,,
-0.03,-0.036,-0.006,,,,,,,,,
-0.032,-0.034,-0.001,,,,,,,,,
-0.03,-0.031,0.0,,,,,,,,,
-0.029,-0.028,0.0,,,,,,,,,
-0.024,-0.025,0.0,,,,,,,,,
-0.024,-0.023,0.0,,,,,,,,,
-0.019,-0.02,-0.001,,,,,,,,,
-0.021,-0.019,0.001,,,,,,,,,
-0.011,-0.02,-0.008,,,,,,,,,
-0.001,-0.019,-0.018,,,,,,,,,
-0.006,-0.02,-0.013,,,,,,,,,
-0.001,-0.016,-0.015,,,,,,,,,
-0.001,-0.014,-0.013,,,,,,,,,
-0.005,-0.015,-0.009,,,,,,,,,
-0.004,-0.015,-0.01,,,,,,,,,
-0.004,-0.014,-0.009,,,,,,,,,
-0.008,-0.016,-0.007,,,,,,,,,
-0.036,-0.04,-0.003,,,,,,,,,
-0.034,-0.04,-0.006,,,,,,,,,
-0.035,-0.037,-0.002,,,,,,,,,
-0.034,-0.034,0.0,,,,,,,,,
-0.032,-0.032,0.0,,,,,,,,,
-0.028,-0.028,0.0,,,,,,,,,
-0.029,-0.031,-0.002,,,,,,,,,
-0.02,-0.033,-0.013,,,,,,,,,
-0.043,-0.058,-0.014,,,,,,,,,
-0.083,-0.058,0.024,,,,,,,,,
-0.117,-0.047,0.069,,,,,,,,,
-0.1,-0.042,0.057,,,,,,,,,
-0.088,-0.028,0.06,,,,,,,,,
-0.011,-0.009,0.002,,,,,,,,,
0.082,0.012,-0.069,,,,,,,,,
0.241,0.07,-0.17,,,,,,,,,
0.525,0.209,-0.316,,,,,,,,,
0.857,0.404,-0.452,,,,,,,,,
1.113,0.367,-0.747,,,,,,,,,
1.292,0.312,-0.98,,,,,,,,,
1.101,0.312,-0.789,,,,,,,,,
0.51,0.298,-0.212,,,,,,,,,
0.097,0.223,0.126,,,,,,,,,
-0.069,0.098,0.168,,,,,,,,,
-0.188,0.033,0.221,,,,,,,,,
-0.159,0.042,0.202,,,,,,,,,
-0.13,0.038,0.168,,,,,,,,,
-0.102,0.041,0.144,,,,,,,,,
-0.093,0.026,0.119,,,,,,,,,
-0.089,0.008,0.098,,,,,,,,,
-0.09,-0.011,0.079,,,,,,,,,
-0.086,-0.028,0.058,,,,,,,,,
-0.085,-0.045,0.039,,,,,,,,,
-0.095,-0.076,0.018,,,,,,,,,
-0.122,-0.081,0.042,,,,,,,,,
-0.127,-0.079,0.048,,,,,,,,,
-0.114,-0.08,0.033,,,,,,,,,
-0.108,-0.078,0.029,,,,,,,,,
-0.09,-0.073,0.017,,,,,,,,,
-0.078,-0.07,0.007,,,,,,,,,
-0.065,-0.068,-0.003,,,,,,,,,
-0.066,-0.065,0.002,,,,,,,,,
-0.074,-0.063,0.012,,,,,,,,,
-0.083,-0.059,0.023,,,,,,,,,
-0.092,-0.058,0.033,,,,,,,,,
-0.091,-0.052,0.039,,,,,,,,,
-0.108,-0.068,0.04,,,,,,,,,
-0.136,-0.096,0.039,,,,,,,,,
-0.112,-0.072,0.04,,,,,,,,,
-0.101,-0.061,0.039,,,,,,,,,
-0.078,-0.037,0.041,,,,,,,,,
-0.11,-0.065,0.045,,,,,,,,,
-0.116,-0.071,0.044,,,,,,,,,
-0.102,-0.057,0.045,,,,,,,,,
-0.098,-0.053,0.045,,,,,,,,,
-0.087,-0.042,0.044,,,,,,,,,
-0.088,-0.04,0.048,,,,,,,,,
-0.09,-0.039,0.05,,,,,,,,,
-0.089,-0.036,0.053,,,,,,,,,
-0.09,-0.034,0.055,,,,,,,,,
-0.093,-0.033,0.058,,,,,,,,,
-0.09,-0.029,0.061,,,,,,,,,
-0.088,-0.03,0.057,,,,,,,,,
